variety,type,origin,alpha,beta,cohumulone,myrcene,caryophyllene,humulene,farnesene,total_oil,aroma
Hersbrucker Pure,Aroma,Germany,4.5,2,26,23.5,11.5,27,0.5,0,noble
Huell Melon,Aroma,Germany,6.5,7,27.5,36,7.5,15,0.5,0,honeydew
Huell Melon,Aroma,Germany,6.5,7,27.5,36,7.5,15,0.5,0,melon
Huell Melon,Aroma,Germany,6.5,7,27.5,36,7.5,15,0.5,0,strawberry
Liberty,Aroma,United States,4,3.5,27,37.5,10.5,37.5,0.5,0.5,noble
Liberty,Aroma,United States,4,3.5,27,37.5,10.5,37.5,0.5,0.5,floral
Liberty,Aroma,United States,4,3.5,27,37.5,10.5,37.5,0.5,0.5,bouquet
Liberty,Aroma,United States,4,3.5,27,37.5,10.5,37.5,0.5,0.5,spice
Lublin/Lubelski,Aroma,Poland,4,2.5,27.5,30,10,37.5,11,0.5,noble
Lublin/Lubelski,Aroma,Poland,4,2.5,27.5,30,10,37.5,11,0.5,lavendar
Lublin/Lubelski,Aroma,Poland,4,2.5,27.5,30,10,37.5,11,0.5,magnolia
Mandarina Bavaria,Aroma,Germany,8.5,5,33,71,3,10,0.5,2,citrus
Mandarina Bavaria,Aroma,Germany,8.5,5,33,71,3,10,0.5,2,fruity
Mandarina Bavaria,Aroma,Germany,8.5,5,33,71,3,10,0.5,2,tangerine
Mosaic®,Aroma,United States,12,3.5,23,51.5,5.5,12.5,0.5,1.5,earth
Mosaic®,Aroma,United States,12,3.5,23,51.5,5.5,12.5,0.5,1.5,blueberry
Mosaic®,Aroma,United States,12,3.5,23,51.5,5.5,12.5,0.5,1.5,tangerine
Mosaic®,Aroma,United States,12,3.5,23,51.5,5.5,12.5,0.5,1.5,papya
Mosaic®,Aroma,United States,12,3.5,23,51.5,5.5,12.5,0.5,1.5,rose
Mosaic®,Aroma,United States,12,3.5,23,51.5,5.5,12.5,0.5,1.5,blossoms
Mosaic®,Aroma,United States,12,3.5,23,51.5,5.5,12.5,0.5,1.5,grass
Mosaic®,Aroma,United States,12,3.5,23,51.5,5.5,12.5,0.5,1.5,bubble
Mosaic®,Aroma,United States,12,3.5,23,51.5,5.5,12.5,0.5,1.5,gum
Motueka,Aroma,New Zealand,6.5,5,29,48,2,3,12.2,0,fresh
Motueka,Aroma,New Zealand,6.5,5,29,48,2,3,12.2,0,citrus
Motueka,Aroma,New Zealand,6.5,5,29,48,2,3,12.2,0,mojito
Motueka,Aroma,New Zealand,6.5,5,29,48,2,3,12.2,0,lime
Motueka,Aroma,New Zealand,6.5,5,29,48,2,3,12.2,0,lively
