"","variety","type","alpha","beta","cohumulone","myrcene","caryophyllene","humulene","farnesene","total_oil"
"137","Sovereign","Dual Purpose",5,2.5,28,NA,7.5,NA,3.6,0.5
"138","Status","Dual Purpose",13,8.5,33.5,42.5,8.5,17.5,0.5,1
"139","Sterling","Dual Purpose",7.5,5,23.5,46,6,21,14,1
"140","Sticklebract","Dual Purpose",13.5,7.5,43,52.5,5.5,11.5,6,1.5
"141","Super Alpha","Dual Purpose",13.5,7.5,37.5,52.5,6.5,20.5,0.5,1.5
"142","Super Pride","Dual Purpose",14.5,7.5,32,37.5,8,1.5,0.5,1
"143","Super Styrian (Aurora)","Dual Purpose",7.5,3.5,24,30,5,19,7,1
"144","Waimea","Dual Purpose",17.5,4.5,29,40,12.5,20,0.5,1.5
"145","Wakatu","Dual Purpose",7,8,29,35.5,8,16,6.7,0.5
"146","WGV","Dual Purpose",6,2.5,37.5,24,13,41.5,2,0.5
"147","Willamette","Dual Purpose",5,3.5,32.5,50,7.5,25,5.5,1
