season,episode,title,aired_date,synopsis,imdb_rating,imdb_vote_count,thumbnail_url,imdb_episode_url,is_holiday
15,8,"They Slug Horses, Don't They?","Sun, Dec 8, 2024","Tina and Louise get into an argument that escalates across several graphic ""apology"" cards.",8.4,733,"https://m.media-amazon.com/images/M/MV5BOTZjZThkNjMtOTRmMC00ZGY0LWI1NGQtNDk1N2M1MzJjZDhjXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt34730473/?ref_=ttep_ep_8,FALSE
15,9,Dog Christmas Day After Afternoon,"Sun, Dec 15, 2024",The Belchers' family trip to see Christmas lights becomes a rescue mission in more ways than one.,8.1,462,"https://m.media-amazon.com/images/M/MV5BMzFmYTkyYzktOTI0Yy00ZjVhLTgzM2MtNmY2NjY4ZDI4NzJhXkEyXkFqcGc@._V1_QL75_UY281_CR1,0,500,281_.jpg",https://www.imdb.com/title/tt34791042/?ref_=ttep_ep_9,TRUE
15,10,Advice Things Are Ad-nice,"Sun, Dec 29, 2024",Tina becomes the new advice columnist for the school newspaper; Teddy takes on more than he can handle when he volunteers to build a float for the Bounty of the Bay Parade.,7.4,393,"https://m.media-amazon.com/images/M/MV5BNzI4YmI5OTEtOWE0My00ZGFmLWEyZjYtZjNmMWU1NzEzOWQ5XkEyXkFqcGc@._V1_QL75_UY281_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt34984702/?ref_=ttep_ep_10,FALSE
15,11,Mr. Fischoeder's Opus,"Sun, May 18, 2025","Mr. Fischoeder offers the Belchers two months free rent in exchange for catering an important reception at his house, so the family does everything they can to make sure the event goes perfectly.",7.7,367,"https://m.media-amazon.com/images/M/MV5BMDdkMDQxOGEtZWRkOC00YWM2LThiYTYtYTY1OGU3ZTI1YzQ1XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36684224/?ref_=ttep_ep_11,FALSE
15,12,Like a Candle in the Gym,"Thu, May 29, 2025","Linda forces the Belchers to go on a family walk, during which the kids stumble onto a conspiracy theory about their gym teacher, Coach Blevins.",7.3,338,"https://m.media-amazon.com/images/M/MV5BMzBjZDRiNzgtODc3My00NGY4LTlmYWItNmU5NTNkZGFiOGJjXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36861477/?ref_=ttep_ep_12,FALSE
15,13,Snackface,"Thu, Jun 5, 2025","Louise starts an illegal snack trade at school with Gene and Tina, but tensions rise when a rival snack business emerges; Bob and Linda face a laptop crisis, forcing them to choose between family memories and bookkeeping records.",7.7,328,"https://m.media-amazon.com/images/M/MV5BMmVlNDRlNTItZDI4OC00NmMwLTg5OWItZDk4MjdlYWM3MGQ1XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36980689/?ref_=ttep_ep_13,FALSE
15,14,The Place Beyond the Pinecones,"Thu, Jun 12, 2025","Tina embarks on a scavenger hunt for the ""golden pinecone"" during an overnight orienteering trip and gets trapped in an etiquette camp for good girls when she and her fellow Thundergirls get lost in the woods.",7.6,347,"https://m.media-amazon.com/images/M/MV5BOTk0ODYyMGMtNzQ5Ni00M2M0LWI5NTMtYTA1ZDQ3MGY1MDliXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36980733/?ref_=ttep_ep_14,FALSE
15,15,The Lost City of Atlantic,"Thu, Jun 19, 2025",The Belchers have a wild night at a casino and Linda learns more about her late grandfather than she wanted to know.,8.2,399,"https://m.media-amazon.com/images/M/MV5BNTlhZmFiNjktMDdmOS00N2EzLWE2NzQtODQxY2M4NGFkMTU2XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36981015/?ref_=ttep_ep_15,FALSE
15,16,The Shell Game,"Thu, Jul 3, 2025",Bob competes in a Bachelor-style competition to inherit Mr. Fischoeder's 100-year-old giant tortoise.,7.3,322,"https://m.media-amazon.com/images/M/MV5BZjVhMDRkOWYtZmYwMS00ZWFkLTgyOWItZWY1MDMwNDk2NGMyXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt37338247/?ref_=ttep_ep_16,FALSE
15,17,Wild Steal-ions,"Thu, Jul 10, 2025",Tina's lost book of semi-erotic Horse-torical Fiction lands in the hands of a mysterious stranger with nefarious intentions.,7.2,358,"https://m.media-amazon.com/images/M/MV5BZTJkNTVmMzEtOTEyNS00MGUwLTk1ODgtZTk5YTQ4MGRmNzU0XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt37338459/?ref_=ttep_ep_17,FALSE
15,18,"Don't Worry, Be Hoopy","Thu, Jul 17, 2025",Tina must confront her fear and her past when she advances to the County Finals of a national free throw competition.,7.3,316,"https://m.media-amazon.com/images/M/MV5BM2UyMWE1NWYtYjI3OS00ODJjLTg0MTYtNDkxYjA4MDlhMzExXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt37468577/?ref_=ttep_ep_18,FALSE
15,19,The Dead Bo-ats Society,"Thu, Jul 31, 2025","The kids explore a marine scrapyard in search of adventure, but the trip takes a dangerous turn.",7.7,288,"https://m.media-amazon.com/images/M/MV5BMGM0NWQ3ZDAtYzZhNy00YWYwLWJhZWItN2FjOGIzMjdlYWI2XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt37543506/?ref_=ttep_ep_19,FALSE
15,20,Dad-urday Kite Fever,"Thu, Jul 31, 2025",Bob is determined to fly a kite from his childhood with his kids; Teddy asks Linda for help rehearsing for a play.,7.5,289,"https://m.media-amazon.com/images/M/MV5BYzAzNDg2OTQtNjUxOS00YWNlLTk0NmUtNzAwZWNkNmY2OTJjXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt37543509/?ref_=ttep_ep_20,FALSE
15,21,Mr. Safebody,"Thu, Aug 7, 2025",Louise's schoolmate Arnold enlists her to direct a promotional video for his new bodyguarding business; a stolen car blasting 90's alternative rock is abandoned outside of the restaurant.,7.1,265,"https://m.media-amazon.com/images/M/MV5BY2EzMTc3ZDQtNDFmZS00MDE5LTgyYWItNmZjZTVkYjYxNzQwXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt37592952/?ref_=ttep_ep_21,FALSE
15,22,Insomnibob,"Thu, Aug 14, 2025",Insomnia sends Bob on a creative spree in the kitchen.,8.1,322,"https://m.media-amazon.com/images/M/MV5BMjQwYzhhNDEtMWNkYy00MjM4LTgzNzktZTliNzgwNWFhZmRhXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt37599389/?ref_=ttep_ep_22,FALSE
16,1,Grand Pre-Pre-Pre-Opening,"Sun, Sep 28, 2025",Bob and Linda are on the verge of a big decision which brings up memories of when the restaurant first opened; the kids embark on a new musical project.,9.3,623,"https://m.media-amazon.com/images/M/MV5BNzZmNjE4NjUtZjQ0NC00Mzk3LTg0MjEtOGVjMjUwOWVhOTdlXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36431668/?ref_=ttep_ep_1,FALSE
16,2,Til Death Do Us Art,"Sun, Oct 5, 2025",Linda becomes concerned when Gayle turns her love life into a performance art piece.,7.4,302,"https://m.media-amazon.com/images/M/MV5BNjJjM2E5MjAtOGMyNS00MWU5LWJmZmUtYjQ5MWUwZmU5NjM2XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36431657/?ref_=ttep_ep_2,FALSE
