file_name,drive_id,volume,issue
Heavy Metal v12 04 (1989-Winter) (c2c) (Lazarus-DCP).cbz,1YL6UntK6r7JsR7JTmxhU0AQIk-IbRih5,12,4
Heavy Metal v13 01 (1989).cbr,1kgkUcna1_nITSseg5dkzX5D6U6tEO-xK,13,1
Heavy Metal v13 02 (1989-05).cbr,1JccqvUwDCuIZSkXKUI5KpFP_-b5dp7u-,13,2
Heavy Metal v13 03 (1989).cbr,1lnkGTs1qKV-FR_CeKJBXWzEXiSOLXTVh,13,3
Heavy Metal v13 04 (1989-09) (c2c) (Lazarus-DCP).cbz,1yZxxL8T_ZkfOiG-rOd0og6ZdRtUlhvCf,13,4
Heavy Metal v13 05 (1989-11).cbr,1Szd9gvJpbjqFV5k9FyjFYFW7fJRfE4ZA,13,5
Heavy Metal v13 06 (1990-01).cbr,1p2Zv7rwBEnfffb23IgkLnaiZ-BBd2-ow,13,6
Heavy Metal v14 01 (1990-03) (c2c) (Lazarus-DCP).cbz,1eiAbKgp6DhVMpo0wSo0XTFks2V3YG8QP,14,1
Heavy Metal v14 02 (1990-05) (c2c) (Lazarus-DCP).cbz,11uROLSk18wTLobjhclmsYy_GD4WqMsL4,14,2
Heavy Metal v14 03 (1990).cbr,1gOMbmdXUtP3ptiWvcv8HSsHgpLmCk4oa,14,3
Heavy Metal v14 04 (1990-09) (c2c) (Lazarus-DCP).cbz,1LFWotMo56AMIFZIg604p66CuPEAGAwoE,14,4
Heavy Metal v14 05 (1990).cbr,1-UFy3qz-oj_yqfj3cYkwbxtf0f44Ds_3,14,5
Heavy Metal v14 06 (1991-01) (c2c) (Lazarus-DCP).cbz,1DMk7bzoep_wJVaF5wGUBnhG371H2gXoH,14,6
Heavy Metal v15 01 (1991).cbr,12l_i-ttbrYVKxImKqhFB4gmy0MYOoMUK,15,1
Heavy Metal v15 02 (1991-05) (c2c) (Lazarus-DCP).cbz,1GOMkFBq4-7kTrNeS5F1rLs4v0dk9urL8,15,2
Heavy Metal v15 03 (1991-07) (c2c) (Lazarus-DCP).cbz,1wt7CYhjMFeyoUnA3wALU8k2mwRa-rlnr,15,3
Heavy Metal v15 04 (1991).cbz,1VTbgHZuMs0URWleF1iznE1pRg_xWxeOK,15,4
Heavy Metal v15 05 (1991-11) (c2c) (Lazarus-DCP).cbz,1xuX7b6y2n_XRTPRxojSNVIEKbS7UbyjF,15,5
Heavy Metal v15 06 (1992).cbz,1bnb6JgN7jQJ3cTb6HCu17E9q0WrRmygR,15,6
Heavy Metal v16 01 (1992) (null-DCP).cbz,19WCW9JOYp40__8oecLxgza9w9P95Rb8Q,16,1
Heavy Metal v16 02 (1992) (null-DCP).cbz,1LfPXEa-LwJFvyGToI1oV98gTBz83vBgK,16,2
Heavy Metal v16 03 (1992) (null-DCP).cbz,14U_gQ08Zx3hc_OMVru7rOaiGHqK0go9E,16,3
Heavy Metal v16 04 (1992) (null-DCP).cbz,1IaXOs3h53qe6wTjX40pzIhHpjurpGsr8,16,4
Heavy Metal v16 05 (v17 04) (1992-11) (c2c) (L74KL-DREGS).cbr,19eVRcgm2n6YJRmFvMK5auDgOGjjUvt_V,16,5
Heavy Metal v16 06 (v18 05) (1993-01) (c2c) (Lazarus-DCP).cbz,1rDEvIdg_W1ta9wXLnnS5TmiD1yTNREBc,16,6
Heavy Metal v17 01 (v19 06) (1993-03).cbr,1kJRk7QX3kBN58Yrha7ubCWQQtzkIKrPe,17,1
Heavy Metal v17 02 (v30 07) (1993-05).cbr,10aG4wGwPsyfIg-e2ZObPvLkQsyk77jOz,17,2
Heavy Metal v17 03 (1993-07) (Humperdido).cbr,1WlIvTaM9KYE12eo_gYOzl0sZiZsIvQyj,17,3
Heavy Metal v17 04 (1993-09).cbr,1EaH97WvpSYsf9lJHj-0ejgY2F43HIxbq,17,4
Heavy Metal v17 05 (v18 05) (1993-11).cbr,19HQkYJlx32qryausRUIbFkOfVFL0QSqZ,17,5
Heavy Metal v17 06 (1994-01) (Humperdido).cbr,1YyXDotfCmSF_7lwmX3QIRw1N1l_0xVuG,17,6
Heavy Metal v18 01 (1994-03) (Humperdido).cbr,13nCDZOfd962qWraryKdrf7kwITLsRrOd,18,1
Heavy Metal v18 02 (1994-05) (Humperdido).cbr,1yM4HY9C1-_WGV3qjPiPc7Inb_1xmhbPy,18,2
Heavy Metal v18 03 (1994-07) (Humperdido).cbr,1hYLzJ-HDSkFJoL_JsgfsvtvVXK2g6NdX,18,3
Heavy Metal v18 04 (1994-09) (Humperdido).cbr,1ypdygTxEvmAy4nrgJLOdsnc2jlaZqm3J,18,4
Heavy Metal v18 05 (1994-11) (Humperdido).cbr,1m-VEdhWUo7vXmML7xNoUUxKKj_lCa3JE,18,5
Heavy Metal v18 06 (1995).cbr,1Dx-dbi5vCMiwV0ov6Bbz9ggUG37VKtrN,18,6
Heavy Metal v19 01 (1995-03) (Humperdido).cbr,1bsbpdauir6lsDIXWi-eRPrztnGeB2Vz6,19,1
Heavy Metal v19 02 (1995-05) (Humperdido).cbr,1frTjJjZ-oP0ju47j-U6ozwozb3GojKpG,19,2
Heavy Metal v19 03 (1995-07) (Humperdido).cbr,1nkTV6iqwfLOTs_xEpYuTdru0fzAKgOrf,19,3
Heavy Metal v19 04 (1995-09) (Humperdido).cbr,18HNzvT2tfCWBxntFl2HXuTCCz59S3n04,19,4
Heavy Metal v19 05 (1995-11) (Humperdido).cbr,1qT_Y3zuwO07FrUvdPOvJoWb2OvzeYhyP,19,5
Heavy Metal v19 06 (1996-01) (Humperdido).cbr,1Q8dOM804HVUyOJHzY-Z6pnxY4LKFKW-X,19,6
Heavy Metal v20 01 (1996).cbr,1-TlFh_KDnGcH2yvdhGTK5myiDoia8l-a,20,1
Heavy Metal v20 02 (1996 05) (Humperdido).cbr,1HuHTpQoXJr76w7I4MuCY16eJ84O8jgsf,20,2
Heavy Metal v20 03 (1996-07) (Humperdido).cbr,1jCqjngt8OYxbL3B88MXL_lQhG5p1iGWJ,20,3
Heavy Metal v20 04 (1996-09) (Humperdido).cbr,101t2ebg_C307KomvIWdyAKTdVzf3cJWR,20,4
Heavy Metal v20 05 (1996-11) (Humperdido).cbr,1unNc0WGup6Sl8KG9FmIOxI1sTcLUxqjq,20,5
Heavy Metal v20 06 (1997).cbr,1DIS5yPf0fbKMFcbZHpCk6tCVVHapo9n9,20,6
Heavy Metal v21 01 (1997).cbr,1FxpN7U0GM38v5KoFBJ4ZV_4YxzzVUONB,21,1
Heavy Metal v21 02 (1997).cbr,1Qc64Xuw916y6jVRlT-5EyjXdcQB4PoiN,21,2
Heavy Metal v21 03 (1997).cbr,1nUZbJMtrFgVkHGnRPPadYk0c49rSADpP,21,3
Heavy Metal v21 04 (1997-09) (c2c) (Lazarus-DCP).cbz,10ra4sdluMvJzy1cej7xDoD2TphVH6P0x,21,4
Heavy Metal v21 05 (1997-11) (c2c) (Lazarus-DCP).cbz,19pvX6XV2Fc2xtRTzRPxgx75VpKBV0_8N,21,5
Heavy Metal v21 06 (1998-01) (c2c) (Lazarus-DCP).cbz,1frvHgENO58c0KeCGkLESuJlvEqvm19yj,21,6
Heavy Metal v22 01 (1998-03) (c2c) (Lazarus-DCP).cbz,1U85sjdlXhMVnE-4Sj42b__e6kDK3YQyL,22,1
Heavy Metal v22 02 (1998-05) (c2c) (Lazarus-DCP).cbz,1nZKz_dmHT8Z9jlnXKCc0Cc8bizG4sUZb,22,2
Heavy Metal v22 03 (1999-07) (c2c) (Lazarus-DCP).cbz,1l1jFLzQOamkV5TyZyuQId5-zUkx4nnzO,22,3
Heavy Metal v22 04 (1998-09) (c2c) (Lazarus-DCP).cbz,1jzlRn5sXJjAFiNmbmeQK2NABQRiTCyLN,22,4
Heavy Metal v22 05 (1998-11) (c2c) (Lazarus-DCP).cbz,1S2omsPRn29Npncrk4dZ4K6u3sPoLiLLv,22,5
Heavy Metal v22 06 (1999-01) (c2c) (Lazarus-DCP).cbz,13JbH4XOTOijKDQmxVLmb8YReL6pRfspV,22,6
Heavy Metal v23 01 (1999-03) (c2c) (Lazarus-DCP).cbz,1U8BSVhr8WXBYAFCg9IaY66yDZMt2V3gx,23,1
Heavy Metal v23 02 (1999).cbr,1iS1Aju0SsIvWuh4zFlwpwO3YZVVTtkA8,23,2
Heavy Metal v23 03 (1999).cbz,1FztZ48kXPvC491C1qn0KwUKaBWUsLxkI,23,3
Heavy Metal v23 04 (1999-09).cbr,1Rj9mpuOQNvcbjCiN_6iLe1Abth7FwTPy,23,4
